成交编号,城市,区域,楼盘名称,户型,套内面积(㎡),建筑面积(㎡),建筑年代,朝向,楼层信息,装修情况,物业类型,产权年限,成交总价(万元),挂牌总价(万元),成交单价(元/㎡),带看次数,调价次数,成交周期(天)
HZ000012,杭州,桐庐县,金地小区63号,2室1厅,185.21,210.15,2017.0,西,低楼层,精装,住宅,40,208.84,220.51,11276.0,35,,9.0
HZ000013,杭州,桐庐县,绿城小区67号,3室2厅,77.06,92.06,2009.0,南北通透,顶楼,简装,别墅,40,95.02,96.77,12331.0,12,4.0,
HZ000014,杭州,钱塘区,金地小区45号,2室2厅,53.55,61.14,1998.0,南北通透,中楼层,毛坯,住宅,40,105.3,,19664.0,35,1.0,29.0
HZ000015,杭州,萧山区,万科小区30号,2室1厅,151.93,184.21,2017.0,南,高楼层,简装,别墅,40,490.29,523.83,32271.0,28,,164.0
HZ000016,杭州,滨江区,华润小区53号,1室1厅,178.89,209.71,1994.0,南,顶楼,豪装,洋房,40,797.92,836.1,44604.0,12,0.0,42.0
HZ000017,杭州,钱塘区,保利小区29号,1室1厅,126.91,156.93,2011.0,北,顶楼,,洋房,70,256.02,259.93,20173.0,24,1.0,94.0
HZ000018,杭州,钱塘区,绿城小区53号,4室2厅,132.25,163.27,2012.0,东南,高楼层,简装,住宅,70,268.06,285.85,20269.0,28,,93.0
HZ000019,杭州,西湖区,万科小区21号,2室1厅,152.55,177.95,1999.0,南北通透,低楼层,精装,住宅,70,795.67,805.69,52158.0,3,2.0,67.0
HZ000020,杭州,余杭区,华润小区22号,5室2厅,56.19,69.85,1996.0,东南,顶楼,毛坯,公寓,70,152.12,159.87,27072.0,35,1.0,176.0
HZ000021,杭州,萧山区,保利小区54号,5室2厅,185.81,222.81,2023.0,西,中楼层,豪装,住宅,70,591.0,628.83,31807.0,20,6.0,162.0
HZ000022,杭州,拱墅区,金地小区43号,5室2厅,89.56,106.64,2019.0,南,顶楼,精装,公寓,70,434.11,458.03,48471.0,28,6.0,124.0
HZ000023,杭州,钱塘区,万科小区68号,4室2厅,131.26,146.22,2008.0,东,中楼层,豪装,公寓,70,261.89,282.5,19952.0,39,,52.0
HZ000024,杭州,淳安县,金地小区25号,5室2厅,106.04,132.27,2004.0,南,高楼层,精装,公寓,40,104.68,109.86,9872.0,1,5.0,110.0
HZ000025,杭州,余杭区,华润小区20号,1室1厅,105.97,118.02,2018.0,西,高楼层,毛坯,住宅,70,293.87,307.07,27731.0,16,6.0,78.0
HZ000026,杭州,拱墅区,金地小区47号,2室1厅,143.03,163.11,2024.0,西南,低楼层,精装,公寓,40,693.66,714.09,48498.0,17,6.0,126.0
HZ000027,杭州,淳安县,金地小区56号,2室2厅,189.16,212.91,,东,顶楼,毛坯,别墅,70,207.21,217.65,10954.0,6,6.0,141.0
HZ000028,杭州,萧山区,金地小区34号,3室2厅,136.13,150.91,2014.0,北,高楼层,简装,住宅,40,427.7,461.52,31418.0,18,7.0,112.0
HZ000029,杭州,上城区,万科小区15号,5室2厅,157.46,196.8,2024.0,北,高楼层,简装,洋房,70,879.64,915.88,55864.0,0,4.0,62.0
HZ000030,杭州,淳安县,绿城小区47号,2室1厅,36.36,41.74,1997.0,东南,高楼层,简装,住宅,70,39.89,41.36,10971.0,19,5.0,156.0
HZ000031,杭州,临安区,万科小区39号,4室2厅,160.05,177.16,2008.0,南,高楼层,毛坯,洋房,40,235.58,249.06,14719.0,23,6.0,169.0
HZ000032,杭州,余杭区,万科小区58号,2室1厅,79.4,88.83,1994.0,北,低楼层,毛坯,住宅,40,230.41,237.33,29019.0,30,5.0,52.0
HZ000033,杭州,建德市,保利小区68号,1室1厅,52.02,59.07,2020.0,西南,高楼层,简装,洋房,40,50.23,50.91,9656.0,10,1.0,120.0
HZ000034,杭州,淳安县,保利小区30号,1室1厅,49.91,55.19,1996.0,南,中楼层,毛坯,洋房,70,53.56,56.82,10731.0,26,1.0,179.0
HZ000035,杭州,富阳区,保利小区55号,5室2厅,139.42,156.43,2017.0,西南,高楼层,简装,洋房,40,250.04,268.89,17934.0,13,7.0,78.0
HZ000036,杭州,上城区,绿城小区95号,1室1厅,189.62,209.49,2001.0,东,中楼层,毛坯,洋房,40,1051.05,1094.06,55429.0,5,5.0,101.0
HZ000037,杭州,桐庐县,保利小区99号,3室2厅,137.26,154.42,2022.0,西,高楼层,豪装,洋房,70,166.98,173.23,12165.0,3,,86.0
HZ000038,杭州,桐庐县,万科小区87号,2室1厅,73.45,85.7,1991.0,西,高楼层,豪装,住宅,40,84.59,86.14,11517.0,26,5.0,33.0
HZ000039,杭州,临安区,绿城小区78号,1室1厅,64.12,79.92,2004.0,东南,顶楼,毛坯,公寓,70,81.54,83.26,12717.0,33,3.0,80.0
HZ000040,杭州,淳安县,绿城小区30号,1室1厅,115.1,138.3,2002.0,东南,低楼层,精装,住宅,70,117.62,124.98,10219.0,30,6.0,93.0
HZ000041,杭州,淳安县,华润小区58号,2室2厅,42.28,49.91,1994.0,西南,中楼层,精装,洋房,70,46.2,49.85,10927.0,5,6.0,103.0
HZ000042,杭州,西湖区,保利小区91号,1室1厅,95.09,118.71,2000.0,西南,低楼层,毛坯,别墅,70,501.85,511.31,52776.0,26,4.0,160.0
HZ000043,杭州,淳安县,金地小区38号,4室2厅,137.27,165.48,1993.0,南,中楼层,简装,公寓,40,155.31,167.49,11314.0,6,1.0,74.0
HZ000044,杭州,临平区,保利小区17号,1室1厅,184.89,213.64,2022.0,东,顶楼,精装,洋房,40,410.09,436.44,22180.0,10,7.0,139.0
HZ000045,杭州,滨江区,绿城小区14号,4室2厅,99.25,120.98,2006.0,,中楼层,精装,洋房,70,447.24,479.04,45062.0,30,,165.0
HZ000046,杭州,富阳区,保利小区61号,5室2厅,63.64,74.6,1990.0,南,顶楼,豪装,别墅,40,116.85,,18361.0,33,7.0,
HZ000047,杭州,西湖区,保利小区18号,3室2厅,161.14,178.23,2020.0,北,中楼层,豪装,洋房,40,838.52,884.59,52037.0,5,5.0,
HZ000048,杭州,萧山区,绿城小区82号,5室2厅,149.58,178.8,2002.0,西,顶楼,精装,洋房,70,474.24,503.89,31705.0,35,4.0,93.0
HZ000049,杭州,西湖区,保利小区37号,3室2厅,167.83,203.0,2017.0,南,中楼层,简装,住宅,40,868.52,937.1,51750.0,15,3.0,174.0
HZ000050,杭州,临平区,华润小区60号,2室1厅,65.93,82.2,2024.0,西,高楼层,精装,住宅,40,145.14,151.49,22014.0,10,3.0,155.0
HZ000051,杭州,萧山区,华润小区28号,2室2厅,95.96,106.96,2023.0,西,顶楼,,别墅,70,302.49,322.55,31523.0,15,2.0,148.0
HZ000052,杭州,富阳区,保利小区27号,2室1厅,187.09,214.84,2017.0,东南,高楼层,毛坯,洋房,40,326.66,,17460.0,6,4.0,67.0
HZ000053,杭州,临平区,绿城小区81号,1室1厅,56.97,68.84,1998.0,西,高楼层,毛坯,洋房,70,128.93,136.02,22631.0,14,,58.0
HZ000054,杭州,拱墅区,金地小区43号,3室2厅,138.09,165.28,1999.0,北,低楼层,,公寓,40,665.46,707.07,48190.0,7,0.0,175.0
HZ000055,杭州,滨江区,金地小区64号,4室2厅,69.48,81.81,1998.0,南北通透,中楼层,精装,洋房,70,302.42,309.61,43526.0,23,2.0,68.0
HZ000056,杭州,富阳区,金地小区61号,2室1厅,111.03,125.28,1998.0,西,低楼层,简装,公寓,70,192.46,203.32,17334.0,9,0.0,148.0
HZ000057,杭州,淳安县,保利小区38号,3室2厅,158.48,179.34,2010.0,东,顶楼,豪装,公寓,70,176.35,178.52,11128.0,25,2.0,
HZ000058,杭州,拱墅区,绿城小区75号,4室2厅,109.2,135.98,2020.0,南,高楼层,毛坯,公寓,70,517.28,534.01,47370.0,32,7.0,38.0
HZ000059,杭州,临安区,华润小区21号,4室2厅,159.27,177.73,2007.0,北,低楼层,豪装,住宅,40,239.07,244.3,15010.0,34,7.0,47.0
HZ000060,杭州,富阳区,万科小区24号,1室1厅,99.36,120.19,2023.0,南,顶楼,精装,住宅,40,183.9,192.97,18508.0,8,4.0,133.0
HZ000061,杭州,临安区,绿城小区90号,2室1厅,189.9,208.95,2002.0,东南,低楼层,豪装,住宅,70,282.08,294.71,14854.0,28,3.0,48.0
HZ000062,杭州,萧山区,绿城小区97号,5室2厅,100.86,112.82,2015.0,北,顶楼,毛坯,洋房,40,326.72,,32393.0,5,3.0,78.0
HZ000063,杭州,拱墅区,华润小区86号,4室2厅,55.6,68.28,2014.0,,低楼层,豪装,洋房,70,263.85,266.9,47455.0,8,3.0,33.0
HZ000064,杭州,滨江区,万科小区59号,3室2厅,95.5,109.49,2024.0,西,顶楼,毛坯,洋房,40,427.77,434.97,44793.0,1,7.0,144.0
HZ000065,杭州,淳安县,华润小区86号,2室1厅,149.33,186.54,1997.0,南北通透,顶楼,豪装,洋房,40,166.76,174.66,11167.0,15,1.0,101.0
HZ000066,杭州,淳安县,华润小区77号,1室1厅,165.97,200.77,2024.0,南,顶楼,毛坯,公寓,40,186.6,188.79,11243.0,4,1.0,118.0
HZ000067,杭州,临平区,保利小区80号,1室1厅,104.7,120.93,2024.0,南,高楼层,毛坯,别墅,40,222.82,230.82,21282.0,20,6.0,98.0
HZ000068,杭州,淳安县,万科小区97号,3室2厅,125.93,146.59,2004.0,东,高楼层,简装,洋房,40,130.61,138.26,10372.0,32,5.0,59.0
HZ000069,杭州,建德市,万科小区97号,5室2厅,165.49,188.02,2018.0,西南,高楼层,精装,洋房,70,156.34,158.87,9447.0,36,,
HZ000070,杭州,钱塘区,金地小区44号,4室2厅,160.54,196.29,2009.0,,顶楼,精装,洋房,70,331.14,340.06,20627.0,24,6.0,131.0
HZ000071,杭州,西湖区,保利小区24号,1室1厅,135.92,149.66,2021.0,东南,高楼层,豪装,住宅,70,704.17,742.11,51808.0,13,1.0,169.0
HZ000072,杭州,上城区,保利小区65号,1室1厅,,182.61,2016.0,,中楼层,毛坯,公寓,40,896.12,956.4,55739.0,12,2.0,6.0
HZ000073,杭州,滨江区,绿城小区68号,4室2厅,122.99,151.35,2002.0,西南,中楼层,精装,别墅,40,555.21,583.52,45143.0,9,7.0,106.0
HZ000074,杭州,拱墅区,万科小区43号,4室2厅,32.73,40.78,1994.0,北,中楼层,豪装,公寓,40,147.17,154.01,44965.0,28,2.0,
HZ000075,杭州,钱塘区,金地小区32号,4室2厅,38.52,44.91,2020.0,南北通透,中楼层,精装,住宅,40,74.79,76.19,19416.0,9,0.0,56.0
HZ000076,杭州,滨江区,金地小区23号,2室2厅,186.81,228.68,2001.0,西南,中楼层,毛坯,住宅,40,840.69,885.24,45002.0,20,6.0,122.0
HZ000077,杭州,拱墅区,保利小区91号,2室2厅,,67.12,2008.0,西南,高楼层,毛坯,洋房,70,257.74,263.93,46939.0,21,,122.0
HZ000078,杭州,余杭区,金地小区87号,4室2厅,95.91,116.61,,东,顶楼,精装,住宅,40,261.61,268.22,27277.0,4,2.0,21.0
HZ000079,杭州,余杭区,绿城小区29号,4室2厅,179.54,220.17,1992.0,南北通透,中楼层,豪装,公寓,70,500.45,536.78,27874.0,33,2.0,117.0
HZ000080,杭州,临安区,保利小区30号,3室2厅,62.82,78.02,1999.0,西,顶楼,豪装,住宅,40,91.29,93.7,14532.0,15,0.0,
HZ000081,杭州,滨江区,金地小区77号,1室1厅,165.32,183.17,2019.0,南,顶楼,精装,住宅,70,740.82,769.67,44811.0,33,2.0,147.0
HZ000082,杭州,余杭区,万科小区86号,2室1厅,161.29,186.11,1996.0,西南,低楼层,简装,公寓,40,442.65,458.7,27444.0,12,3.0,148.0
HZ000083,杭州,建德市,保利小区72号,5室2厅,187.84,226.38,2022.0,东,顶楼,豪装,别墅,70,178.84,185.53,9521.0,18,4.0,164.0
HZ000084,杭州,拱墅区,万科小区24号,2室2厅,76.51,86.4,2006.0,东,顶楼,精装,住宅,40,374.8,,48987.0,27,3.0,104.0
HZ000085,杭州,临安区,保利小区49号,5室2厅,81.82,96.52,1995.0,西,中楼层,豪装,洋房,40,114.87,123.85,14039.0,39,2.0,146.0
HZ000086,杭州,淳安县,绿城小区17号,2室2厅,174.65,208.45,1991.0,西,低楼层,毛坯,洋房,70,190.88,196.68,10929.0,21,2.0,99.0
HZ000087,杭州,拱墅区,绿城小区82号,4室2厅,68.98,77.61,1996.0,东,低楼层,毛坯,洋房,40,330.12,352.54,47857.0,14,5.0,68.0
HZ000088,杭州,临安区,万科小区20号,4室2厅,118.57,142.6,2002.0,北,顶楼,简装,公寓,40,174.98,177.63,14758.0,35,4.0,42.0
HZ000089,杭州,滨江区,华润小区18号,4室2厅,143.76,158.95,2005.0,西南,顶楼,精装,洋房,70,645.94,694.18,44932.0,37,2.0,29.0
HZ000090,杭州,钱塘区,金地小区26号,2室1厅,74.96,82.77,2006.0,南,中楼层,毛坯,公寓,70,147.78,158.36,19715.0,22,5.0,70.0
HZ000091,杭州,临平区,绿城小区94号,2室2厅,180.27,218.35,1997.0,西南,低楼层,精装,洋房,40,394.1,406.85,21862.0,17,0.0,
HZ000092,杭州,淳安县,华润小区80号,5室2厅,137.18,164.31,2024.0,东,低楼层,毛坯,别墅,40,157.22,169.62,11461.0,38,1.0,127.0
HZ000093,杭州,富阳区,绿城小区43号,2室1厅,,47.92,2017.0,西,高楼层,豪装,公寓,70,65.29,69.93,16550.0,9,4.0,132.0
HZ000094,杭州,钱塘区,金地小区87号,1室1厅,53.45,58.91,2001.0,西,顶楼,毛坯,公寓,40,103.09,108.09,19287.0,1,2.0,134.0
HZ000095,杭州,萧山区,华润小区37号,2室1厅,62.14,69.08,2012.0,东南,低楼层,豪装,公寓,70,204.32,,32881.0,4,6.0,10.0
HZ000096,杭州,建德市,金地小区98号,3室2厅,70.7,81.03,2009.0,东,中楼层,精装,住宅,70,67.16,68.31,9499.0,0,1.0,113.0
HZ000097,杭州,拱墅区,绿城小区49号,2室2厅,147.45,164.48,1990.0,西南,低楼层,精装,洋房,70,705.07,713.47,47818.0,19,5.0,19.0
HZ000098,杭州,萧山区,华润小区95号,2室1厅,46.05,52.95,1994.0,,顶楼,,别墅,40,143.74,152.8,31214.0,2,7.0,147.0
HZ000099,杭州,钱塘区,保利小区66号,5室2厅,87.39,103.48,,东,低楼层,简装,公寓,70,181.07,186.54,20720.0,32,5.0,139.0
HZ000100,杭州,临安区,金地小区67号,2室2厅,176.0,208.18,2018.0,东,中楼层,简装,别墅,70,269.33,289.62,15303.0,18,,68.0
HZ000101,杭州,富阳区,万科小区41号,4室2厅,119.95,133.59,2007.0,,中楼层,豪装,住宅,40,208.79,224.85,17406.0,24,,150.0
HZ000102,杭州,淳安县,绿城小区18号,2室1厅,73.95,82.14,1997.0,西南,顶楼,简装,别墅,70,89.83,96.35,12147.0,23,1.0,26.0
HZ000103,杭州,淳安县,保利小区12号,2室2厅,183.21,202.75,1996.0,西,高楼层,简装,公寓,70,188.54,191.46,10291.0,0,4.0,98.0
HZ000104,杭州,淳安县,金地小区80号,2室1厅,70.6,86.98,2010.0,南北通透,高楼层,精装,住宅,40,67.61,72.95,9576.0,10,4.0,157.0
HZ000105,杭州,建德市,绿城小区85号,2室1厅,175.01,212.53,,北,中楼层,简装,住宅,70,165.51,169.6,9457.0,14,4.0,
HZ000106,杭州,富阳区,绿城小区10号,2室1厅,146.67,179.46,2003.0,西,中楼层,豪装,洋房,40,257.39,275.44,17549.0,12,,74.0
HZ000107,杭州,建德市,万科小区90号,3室2厅,149.0,164.32,2000.0,西南,高楼层,豪装,公寓,40,146.41,157.67,9826.0,9,6.0,54.0
HZ000108,杭州,建德市,万科小区39号,3室2厅,152.86,184.61,2022.0,,低楼层,简装,洋房,70,146.43,154.34,9579.0,3,7.0,40.0
HZ000109,杭州,上城区,万科小区14号,2室1厅,112.04,133.89,2004.0,东,中楼层,精装,公寓,40,620.17,638.74,55353.0,7,,132.0
HZ000110,杭州,富阳区,保利小区19号,2室1厅,,179.11,2002.0,西,高楼层,豪装,别墅,40,292.03,311.94,18172.0,30,2.0,132.0
HZ000111,杭州,临平区,金地小区40号,2室2厅,164.12,194.86,2007.0,东南,低楼层,精装,住宅,40,358.88,374.3,21867.0,36,7.0,20.0
HZ000112,杭州,富阳区,保利小区95号,4室2厅,88.96,98.71,2022.0,东,高楼层,精装,别墅,40,164.53,168.41,18495.0,30,,173.0
HZ000113,杭州,钱塘区,华润小区37号,1室1厅,95.25,111.25,1991.0,南北通透,低楼层,毛坯,别墅,40,195.67,201.09,20543.0,27,1.0,108.0
HZ000114,杭州,上城区,金地小区26号,4室2厅,172.42,207.34,1990.0,,高楼层,简装,别墅,70,966.13,988.99,56034.0,3,1.0,20.0
HZ000115,杭州,淳安县,金地小区83号,2室2厅,114.91,127.46,2023.0,西,低楼层,精装,公寓,70,130.2,139.28,11331.0,39,4.0,74.0
HZ000116,杭州,钱塘区,华润小区41号,3室2厅,168.98,198.83,2014.0,北,中楼层,豪装,公寓,40,336.44,357.4,19910.0,1,,30.0
HZ000117,杭州,钱塘区,华润小区62号,2室2厅,131.03,157.7,2011.0,西南,中楼层,毛坯,洋房,70,254.2,263.34,19400.0,5,5.0,101.0
HZ000118,杭州,桐庐县,绿城小区22号,2室2厅,125.78,139.31,1990.0,西,中楼层,简装,公寓,40,142.08,145.31,11296.0,34,0.0,88.0
HZ000119,杭州,西湖区,万科小区94号,1室1厅,,45.39,2001.0,西南,顶楼,简装,公寓,40,179.79,,48737.0,18,1.0,178.0
HZ000120,杭州,上城区,华润小区55号,5室2厅,75.91,87.54,2005.0,东南,顶楼,毛坯,住宅,40,429.27,,56550.0,32,5.0,66.0
HZ000121,杭州,钱塘区,华润小区62号,4室2厅,111.33,127.71,2008.0,东,中楼层,简装,住宅,40,223.14,228.53,20043.0,7,6.0,133.0
HZ000122,杭州,西湖区,华润小区16号,3室2厅,124.8,139.55,2023.0,南北通透,低楼层,精装,住宅,70,630.76,677.55,50542.0,7,2.0,109.0
HZ000123,杭州,西湖区,万科小区17号,2室2厅,131.61,164.22,2002.0,东南,顶楼,毛坯,别墅,70,687.78,700.4,52259.0,28,1.0,162.0
HZ000124,杭州,上城区,华润小区53号,1室1厅,145.16,172.27,2004.0,东南,高楼层,豪装,洋房,40,812.83,863.53,55995.0,2,4.0,157.0
HZ000125,杭州,桐庐县,万科小区41号,2室2厅,135.68,161.12,2017.0,,低楼层,简装,公寓,70,156.92,166.96,11565.0,25,7.0,16.0
HZ000126,杭州,萧山区,绿城小区34号,2室2厅,166.08,197.88,1994.0,南北通透,低楼层,精装,别墅,70,525.48,556.83,31640.0,19,,31.0
HZ000127,杭州,临安区,金地小区67号,4室2厅,78.68,91.47,2020.0,东南,高楼层,豪装,住宅,40,115.88,122.15,14728.0,19,0.0,113.0
HZ000128,杭州,临平区,绿城小区64号,4室2厅,133.37,154.36,2003.0,西,高楼层,豪装,别墅,70,300.11,316.64,22502.0,35,3.0,7.0
HZ000129,杭州,临安区,绿城小区45号,1室1厅,40.08,47.39,2014.0,南北通透,顶楼,豪装,洋房,40,59.91,63.2,14948.0,38,5.0,6.0
HZ000130,杭州,富阳区,华润小区41号,2室2厅,107.87,121.33,1993.0,北,顶楼,豪装,住宅,70,189.41,203.23,17559.0,11,,129.0
HZ000131,杭州,淳安县,万科小区66号,2室2厅,74.35,88.35,2018.0,南北通透,高楼层,简装,住宅,70,94.67,97.61,12733.0,20,6.0,
HZ000132,杭州,临平区,金地小区22号,2室2厅,92.18,108.28,1992.0,东南,中楼层,豪装,住宅,70,208.29,222.54,22596.0,6,7.0,112.0
HZ000133,杭州,富阳区,万科小区93号,2室1厅,88.04,98.8,2022.0,东南,中楼层,毛坯,洋房,70,163.86,167.3,18612.0,38,5.0,114.0
HZ000134,杭州,钱塘区,金地小区11号,2室1厅,,50.56,1996.0,西南,低楼层,,住宅,40,88.9,90.22,21396.0,32,1.0,135.0
HZ000135,杭州,淳安县,万科小区40号,2室2厅,105.73,117.5,2010.0,北,顶楼,豪装,公寓,40,123.39,128.34,11670.0,37,1.0,34.0
HZ000136,杭州,拱墅区,绿城小区62号,4室2厅,189.15,214.88,1995.0,西,中楼层,简装,公寓,70,910.44,930.0,48133.0,9,7.0,
HZ000137,杭州,上城区,华润小区71号,1室1厅,79.23,89.16,1998.0,东南,中楼层,豪装,别墅,40,443.81,457.25,56015.0,35,5.0,46.0
HZ000138,杭州,临平区,绿城小区61号,5室2厅,148.31,173.32,1996.0,西南,中楼层,简装,别墅,40,326.92,345.28,22043.0,34,,114.0
HZ000139,杭州,临平区,万科小区31号,5室2厅,,143.0,1996.0,东南,低楼层,简装,住宅,70,252.53,272.51,21302.0,5,4.0,139.0
HZ000140,杭州,钱塘区,华润小区10号,4室2厅,83.39,94.76,1994.0,南,高楼层,毛坯,公寓,40,153.33,,18387.0,13,6.0,117.0
HZ000141,杭州,萧山区,华润小区43号,1室1厅,,51.82,1991.0,西南,中楼层,精装,洋房,40,151.97,163.06,32922.0,27,4.0,20.0
HZ000142,杭州,西湖区,华润小区46号,3室2厅,66.11,78.33,2023.0,西南,中楼层,简装,公寓,70,354.69,368.66,53651.0,29,7.0,132.0
HZ000143,杭州,淳安县,华润小区99号,5室2厅,155.53,186.61,1996.0,南,低楼层,简装,洋房,40,168.81,,10854.0,35,5.0,82.0
HZ000144,杭州,钱塘区,金地小区94号,2室2厅,76.09,94.55,2021.0,西,中楼层,精装,别墅,70,160.51,172.06,21095.0,19,,92.0
HZ000145,杭州,余杭区,华润小区29号,2室2厅,54.8,65.28,1996.0,南北通透,低楼层,豪装,别墅,40,162.65,167.79,29681.0,36,1.0,156.0
HZ000146,杭州,桐庐县,绿城小区47号,2室1厅,84.35,99.97,1997.0,东南,顶楼,毛坯,别墅,40,98.12,102.14,11632.0,9,4.0,171.0
HZ000147,杭州,西湖区,绿城小区17号,3室2厅,124.28,145.52,1995.0,南,中楼层,豪装,别墅,40,653.51,,52584.0,27,0.0,45.0
HZ000148,杭州,上城区,金地小区79号,5室2厅,143.15,163.47,2023.0,西南,低楼层,精装,公寓,40,805.44,866.77,56265.0,36,4.0,151.0
HZ000149,杭州,西湖区,万科小区50号,5室2厅,93.2,115.82,2007.0,东南,中楼层,精装,住宅,70,482.69,500.15,51791.0,0,1.0,24.0
HZ000150,杭州,萧山区,万科小区16号,2室1厅,110.71,133.58,2008.0,东,高楼层,精装,别墅,70,357.46,374.51,32288.0,22,0.0,73.0
HZ000151,杭州,西湖区,金地小区71号,4室2厅,103.88,121.65,1992.0,南北通透,低楼层,精装,公寓,40,541.89,569.83,52165.0,2,1.0,25.0
HZ000152,杭州,上城区,金地小区77号,5室2厅,33.42,39.43,2012.0,西南,中楼层,精装,住宅,40,175.37,183.76,52475.0,5,3.0,166.0
HZ000153,杭州,萧山区,绿城小区17号,2室1厅,94.5,117.53,1994.0,南,顶楼,精装,洋房,40,317.33,329.68,33580.0,38,2.0,123.0
HZ000154,杭州,临安区,金地小区20号,1室1厅,124.8,146.37,2008.0,东,低楼层,简装,住宅,40,180.76,,14484.0,28,4.0,33.0
HZ000155,杭州,临平区,绿城小区18号,2室2厅,122.05,152.44,2005.0,西南,顶楼,豪装,洋房,70,269.69,284.75,22097.0,3,5.0,58.0
HZ000156,杭州,临平区,金地小区18号,4室2厅,150.46,178.4,2013.0,南,高楼层,简装,公寓,70,342.02,368.15,22732.0,17,2.0,29.0
HZ000157,杭州,桐庐县,绿城小区61号,3室2厅,137.92,170.68,1993.0,东,低楼层,精装,公寓,70,163.87,171.76,11882.0,4,1.0,21.0
HZ000158,杭州,富阳区,万科小区82号,2室2厅,75.74,91.54,2010.0,西南,高楼层,毛坯,公寓,40,131.88,133.24,17412.0,27,6.0,91.0
HZ000159,杭州,临安区,绿城小区84号,4室2厅,72.39,80.81,1990.0,东,顶楼,简装,住宅,40,109.36,,15107.0,39,5.0,164.0
HZ000160,杭州,临安区,金地小区15号,3室2厅,105.33,125.58,2008.0,北,中楼层,简装,洋房,40,155.92,159.81,14803.0,39,5.0,56.0
HZ000161,杭州,淳安县,金地小区20号,1室1厅,147.81,183.72,2012.0,南北通透,高楼层,简装,住宅,40,169.93,175.24,11497.0,21,7.0,142.0
HZ000162,杭州,建德市,华润小区94号,1室1厅,46.82,53.84,2020.0,东,低楼层,豪装,住宅,40,41.8,43.67,8928.0,6,,
HZ000163,杭州,西湖区,金地小区82号,3室2厅,181.84,209.77,1996.0,东南,高楼层,毛坯,别墅,40,942.14,1015.57,51811.0,5,3.0,26.0
HZ000164,杭州,临平区,金地小区50号,5室2厅,117.82,131.65,2012.0,西南,顶楼,,洋房,70,258.67,273.46,21955.0,36,6.0,53.0
HZ000165,杭州,上城区,保利小区36号,2室2厅,,94.62,2001.0,东,低楼层,豪装,住宅,40,442.56,459.22,55038.0,10,5.0,99.0
HZ000166,杭州,滨江区,保利小区40号,1室1厅,141.56,162.06,2019.0,东,顶楼,毛坯,别墅,70,633.71,,44766.0,23,2.0,155.0
HZ000167,杭州,建德市,保利小区60号,4室2厅,39.07,47.5,2004.0,南北通透,顶楼,精装,公寓,70,35.81,38.23,9166.0,30,6.0,14.0
HZ000168,杭州,滨江区,绿城小区95号,2室2厅,108.53,122.74,2022.0,东南,低楼层,精装,别墅,70,480.78,490.51,44299.0,28,5.0,40.0
HZ000169,杭州,萧山区,保利小区68号,3室2厅,108.78,131.7,2024.0,西南,低楼层,毛坯,公寓,70,344.37,358.27,31657.0,34,,172.0
HZ000170,杭州,临平区,保利小区19号,1室1厅,57.59,66.89,2019.0,北,高楼层,简装,洋房,40,131.14,134.0,22771.0,1,3.0,
HZ000171,杭州,临平区,万科小区68号,1室1厅,,203.88,2015.0,北,高楼层,简装,公寓,70,349.48,353.53,21270.0,27,7.0,65.0
